column_id,text,label
phone_landline_img,400-100-5678,LANDLINE
phone_landline_img,010-62503000,LANDLINE
phone_landline_img,400-830-8300,LANDLINE
phone_landline_img,86-755-83301199,LANDLINE
phone_landline_img,800-9009999,LANDLINE
phone_landline_400,400-820-8888,LANDLINE
phone_landline_400,400-888-9999,LANDLINE
phone_landline_400,400-123-4567,LANDLINE
phone_landline_400,4008001234,LANDLINE
phone_landline_800,800-810-0000,LANDLINE
phone_landline_800,800-820-1234,LANDLINE
phone_landline_800,8001234567,LANDLINE
phone_landline_800,8008888999,LANDLINE
phone_landline_010,010-88886666,LANDLINE
phone_landline_010,010-12345678,LANDLINE
phone_landline_010,010-87654321,LANDLINE
phone_landline_010,01012345678,LANDLINE
phone_landline_021,021-12345678,LANDLINE
phone_landline_021,021-87654321,LANDLINE
phone_landline_021,021-55556666,LANDLINE
phone_landline_021,02112345678,LANDLINE
phone_landline_0755,0755-83301199,LANDLINE
phone_landline_0755,0755-12345678,LANDLINE
phone_landline_0755,755-83301199,LANDLINE
phone_landline_020,020-87654321,LANDLINE
phone_landline_020,020-12345678,LANDLINE
phone_landline_0571,0571-88889999,LANDLINE
phone_landline_0571,0571-12345678,LANDLINE
phone_landline_028,028-12345678,LANDLINE
phone_landline_028,028-87654321,LANDLINE
phone_landline_029,029-87654321,LANDLINE
phone_landline_023,023-12345678,LANDLINE
phone_landline_022,022-12345678,LANDLINE
phone_landline_024,024-12345678,LANDLINE
phone_landline_025,025-12345678,LANDLINE
phone_landline_027,027-12345678,LANDLINE
phone_landline_0311,0311-12345678,LANDLINE
phone_landline_0351,0351-12345678,LANDLINE
phone_landline_0371,0371-12345678,LANDLINE
phone_landline_0431,0431-12345678,LANDLINE
phone_landline_0451,0451-12345678,LANDLINE
phone_landline_0531,0531-12345678,LANDLINE
phone_landline_0531,0531-86378901,LANDLINE
phone_landline_0532,0532-12345678,LANDLINE
phone_landline_0591,0591-12345678,LANDLINE
phone_landline_0592,0592-12345678,LANDLINE
phone_landline_0731,0731-12345678,LANDLINE
phone_landline_95,95588,LANDLINE
phone_landline_95,95599,LANDLINE
phone_landline_95,95388,LANDLINE
phone_landline_95,95566,LANDLINE
phone_landline_95,95678,LANDLINE
phone_landline_96,96888,LANDLINE
phone_landline_96,96123,LANDLINE
phone_landline_12,12345,LANDLINE
phone_landline_12,12306,LANDLINE
phone_landline_12,12315,LANDLINE
phone_landline_12,12333,LANDLINE
phone_landline_12,12388,LANDLINE
phone_landline_100,10086,LANDLINE
phone_landline_100,10010,LANDLINE
phone_landline_100,10000,LANDLINE
phone_landline_local,6250-3000,LANDLINE
phone_landline_local,88886666,LANDLINE
phone_landline_local,2345-6789,LANDLINE
phone_landline_local,87654321,LANDLINE
phone_landline_local,65321234,LANDLINE
phone_landline_801,400-872-9800,LANDLINE
phone_landline_801,0475-4105895,LANDLINE
phone_landline_801,015-57623448,LANDLINE
phone_landline_801,0319-9627700,LANDLINE
phone_landline_801,800-3073922,LANDLINE
phone_landline_801,400-607-6918,LANDLINE
phone_landline_801,012-54038904,LANDLINE
phone_landline_802,0390-8666277,LANDLINE
phone_landline_802,800-8448343,LANDLINE
phone_landline_802,0795-7164643,LANDLINE
phone_landline_802,0548-9768819,LANDLINE
phone_landline_802,013-29242468,LANDLINE
phone_landline_802,015-18685284,LANDLINE
phone_landline_803,400-446-4281,LANDLINE
phone_landline_803,0225-4906904,LANDLINE
phone_landline_803,0385-5579723,LANDLINE
phone_landline_803,0464-8983040,LANDLINE
phone_landline_803,0596-9580111,LANDLINE
phone_landline_803,400-743-3205,LANDLINE
phone_landline_803,0794-1448771,LANDLINE
phone_landline_804,0719-6485409,LANDLINE
phone_landline_804,0911-8818548,LANDLINE
phone_landline_804,800-6764913,LANDLINE
phone_landline_804,011-67768169,LANDLINE
phone_landline_804,022-70413482,LANDLINE
phone_landline_804,011-33738978,LANDLINE
phone_landline_804,800-3753883,LANDLINE
phone_landline_805,400-419-7374,LANDLINE
phone_landline_805,028-75841004,LANDLINE
phone_landline_805,0587-3622462,LANDLINE
phone_landline_805,0369-9299539,LANDLINE
phone_landline_805,0731-6918393,LANDLINE
phone_landline_805,800-6376808,LANDLINE
phone_landline_806,0453-6995607,LANDLINE
phone_landline_806,017-43234179,LANDLINE
phone_landline_806,019-25364077,LANDLINE
phone_landline_806,024-98284097,LANDLINE
phone_landline_806,0373-1342293,LANDLINE
phone_landline_806,020-60699081,LANDLINE
phone_landline_806,800-2639564,LANDLINE
phone_landline_806,016-55092789,LANDLINE
phone_landline_807,800-3795540,LANDLINE
phone_landline_807,800-8314717,LANDLINE
phone_landline_807,400-394-5344,LANDLINE
phone_landline_807,400-739-2506,LANDLINE
phone_landline_807,028-55209639,LANDLINE
phone_landline_807,0537-4518839,LANDLINE
phone_landline_808,800-9466446,LANDLINE
phone_landline_808,0779-6257190,LANDLINE
phone_landline_808,400-119-9457,LANDLINE
phone_landline_808,0318-8839914,LANDLINE
phone_landline_808,0679-2004647,LANDLINE
phone_landline_808,800-8759239,LANDLINE
phone_landline_809,800-8304611,LANDLINE
phone_landline_809,016-65356542,LANDLINE
phone_landline_809,800-4961601,LANDLINE
phone_landline_809,014-35758531,LANDLINE
phone_landline_809,0532-1620819,LANDLINE
phone_landline_809,800-3952542,LANDLINE
phone_landline_810,025-12672106,LANDLINE
phone_landline_810,0472-2515088,LANDLINE
phone_landline_810,400-341-2833,LANDLINE
phone_landline_810,026-99149714,LANDLINE
phone_landline_810,800-9329067,LANDLINE
phone_landline_810,400-714-3003,LANDLINE
phone_landline_810,800-6524500,LANDLINE
phone_landline_810,0925-4958384,LANDLINE
phone_landline_811,400-247-2750,LANDLINE
phone_landline_811,800-1938272,LANDLINE
phone_landline_811,800-2895176,LANDLINE
phone_landline_811,400-384-3374,LANDLINE
phone_landline_811,800-6170258,LANDLINE
phone_landline_811,017-43954789,LANDLINE
phone_landline_811,800-7087698,LANDLINE
phone_landline_812,027-41726640,LANDLINE
phone_landline_812,0108-7593035,LANDLINE
phone_landline_812,800-6048065,LANDLINE
phone_landline_812,800-7816395,LANDLINE
phone_landline_812,800-2343763,LANDLINE
phone_landline_812,0582-7928341,LANDLINE
phone_landline_812,800-8086125,LANDLINE
phone_landline_812,015-45026810,LANDLINE
phone_landline_813,800-8061035,LANDLINE
phone_landline_813,800-8604470,LANDLINE
phone_landline_813,015-94578152,LANDLINE
phone_landline_813,400-103-7564,LANDLINE
phone_landline_813,400-967-7722,LANDLINE
phone_landline_813,800-8574743,LANDLINE
phone_landline_813,400-366-3842,LANDLINE
phone_landline_814,800-5727774,LANDLINE
phone_landline_814,0997-7330379,LANDLINE
phone_landline_814,400-121-1376,LANDLINE
phone_landline_814,400-191-8576,LANDLINE
phone_landline_814,400-191-7028,LANDLINE
phone_landline_815,0947-9290445,LANDLINE
phone_landline_815,0976-4466272,LANDLINE
phone_landline_815,800-4176986,LANDLINE
phone_landline_815,0911-3448514,LANDLINE
phone_landline_815,800-8686718,LANDLINE
phone_landline_816,0803-4560421,LANDLINE
phone_landline_816,0853-5298752,LANDLINE
phone_landline_816,0462-1763562,LANDLINE
phone_landline_816,800-7621913,LANDLINE
phone_landline_816,400-672-1673,LANDLINE
phone_landline_817,800-3849886,LANDLINE
phone_landline_817,800-8853160,LANDLINE
phone_landline_817,0245-5368887,LANDLINE
phone_landline_817,0992-5714408,LANDLINE
phone_landline_817,0389-5416038,LANDLINE
phone_landline_817,800-9673362,LANDLINE
phone_landline_818,400-669-8208,LANDLINE
phone_landline_818,0141-8407471,LANDLINE
phone_landline_818,0568-9270975,LANDLINE
phone_landline_819,800-4563416,LANDLINE
phone_landline_819,026-86609843,LANDLINE
phone_landline_819,800-1435572,LANDLINE
