column_id,text,label
passport_col_1,E12345678,PASSPORT
passport_col_1,G98765432,PASSPORT
passport_col_1,P12345678,PASSPORT
passport_col_1,D87654321,PASSPORT
passport_col_1,K12345670,PASSPORT
passport_col_1,123456789,PASSPORT
passport_col_1,E12345678,PASSPORT
passport_col_1,G87654321,PASSPORT
passport_col_1,粤B12345,PASSPORT
passport_col_1,abcdef123,PASSPORT
passport_col_2,E23456789,PASSPORT
passport_col_2,G87654321,PASSPORT
passport_col_2,P11223344,PASSPORT
passport_col_2,D99887766,PASSPORT
passport_col_2,K22334455,PASSPORT
passport_col_2,110105199001011234,PASSPORT
passport_col_2,000001,PASSPORT
passport_col_2,China,PASSPORT
passport_col_2,20230101,PASSPORT
passport_col_2,192.168.1.1,PASSPORT
passport_col_3,E34567890,PASSPORT
passport_col_3,G76543210,PASSPORT
passport_col_3,P22334455,PASSPORT
passport_col_3,D11223344,PASSPORT
passport_col_3,K33445566,PASSPORT
passport_col_3,600000,PASSPORT
passport_col_3,abcdef,PASSPORT
passport_col_3,2024/01/01,PASSPORT
passport_col_3,JP,PASSPORT
passport_col_3,粤A88888,PASSPORT
passport_col_4,E45678901,PASSPORT
passport_col_4,G65432109,PASSPORT
passport_col_4,P33445566,PASSPORT
passport_col_4,D22334455,PASSPORT
passport_col_4,K44556677,PASSPORT
passport_col_4,110105123456789012,PASSPORT
passport_col_4,123456,PASSPORT
passport_col_4,USA,PASSPORT
passport_col_4,2023-12-31,PASSPORT
passport_col_4,abcdef123,PASSPORT
passport_col_5,E56789012,PASSPORT
passport_col_5,G54321098,PASSPORT
passport_col_5,P44556677,PASSPORT
passport_col_5,D33445566,PASSPORT
passport_col_5,K55667788,PASSPORT
passport_col_5,000002,PASSPORT
passport_col_5,China,PASSPORT
passport_col_5,20221212,PASSPORT
passport_col_5,粤B12345,PASSPORT
passport_col_5,E12345678,PASSPORT
passport_col_6,E67890123,PASSPORT
passport_col_6,G43210987,PASSPORT
passport_col_6,P55667788,PASSPORT
passport_col_6,D44556677,PASSPORT
passport_col_6,K66778899,PASSPORT
passport_col_6,110105199508073210,PASSPORT
passport_col_6,abcdefg,PASSPORT
passport_col_6,20230101123045,PASSPORT
passport_col_6,8.8.8.8,PASSPORT
passport_col_6,JP,PASSPORT
passport_col_7,E78901234,PASSPORT
passport_col_7,G32109876,PASSPORT
passport_col_7,P66778899,PASSPORT
passport_col_7,D55667788,PASSPORT
passport_col_7,K77889900,PASSPORT
passport_col_7,600001,PASSPORT
passport_col_7,not_valid,PASSPORT
passport_col_7,2023.06.01,PASSPORT
passport_col_7,China,PASSPORT
passport_col_7,粤C12345,PASSPORT
passport_col_8,E89012345,PASSPORT
passport_col_8,G21098765,PASSPORT
passport_col_8,P77889900,PASSPORT
passport_col_8,D66778899,PASSPORT
passport_col_8,K88990011,PASSPORT
passport_col_8,110105199001011234,PASSPORT
passport_col_8,abcdef123,PASSPORT
passport_col_8,2023-05-01,PASSPORT
passport_col_8,USA,PASSPORT
passport_col_8,E12345678,PASSPORT
passport_col_9,E90123456,PASSPORT
passport_col_9,G10987654,PASSPORT
passport_col_9,P88990011,PASSPORT
passport_col_9,D77889900,PASSPORT
passport_col_9,K99001122,PASSPORT
passport_col_9,1234567890,PASSPORT
passport_col_9,China,PASSPORT
passport_col_9,20240101,PASSPORT
passport_col_9,粤A12345,PASSPORT
passport_col_9,abcdef,PASSPORT
passport_col_10,E01234567,PASSPORT
passport_col_10,G09876543,PASSPORT
passport_col_10,P99001122,PASSPORT
passport_col_10,D88990011,PASSPORT
passport_col_10,K00112233,PASSPORT
passport_col_10,110105199001011234,PASSPORT
passport_col_10,600000,PASSPORT
passport_col_10,2023-08-08,PASSPORT
passport_col_10,JP,PASSPORT
passport_col_10,粤B88888,PASSPORT
