column_id,text,label
mixed_train_col_01,张三 17733334444 E45678901,MIXED
mixed_train_col_01,深圳创新股份公司 13912345678 91120100MA08901234,MIXED
mixed_train_col_01,郑二 15122223333 E12345678,MIXED
mixed_train_col_01,李四 15800001111 E45678901,MIXED
mixed_train_col_01,重庆远航实业有限公司 经办张三 19977778888 E45678901 主体91110000MA00123456,MIXED
mixed_train_col_01,南京博瑞信息技术有限公司 经办赵六 13698765432 P67890123 主体91110000MA00123456,MIXED
mixed_train_col_01,联系人张三 手机18611112222 证件110108198403028765,MIXED
mixed_train_col_01,联系人陈七 手机18611112222 证件330102199205154321,MIXED
mixed_train_col_01,联系人李四 手机13912345678 证件110108198403028765,MIXED
mixed_train_col_01,刘八 18855556666 P67890123,MIXED
mixed_train_col_02,联系人张三 手机13698765432 证件440305198710040987,MIXED
mixed_train_col_02,周九 13912345678 P90123456,MIXED
mixed_train_col_02,联系人郑二 手机18855556666 证件510183199811051098,MIXED
mixed_train_col_02,上海恒远数据有限公司 13800001234 91510100MA03456789,MIXED
mixed_train_col_02,联系人李四 手机15800001111 证件320311198706042233,MIXED
mixed_train_col_02,客户陈七，护照号E01234567，统一码91710100MA05678901,MIXED
mixed_train_col_02,成都智汇科技有限公司 18855556666 91510100MA03456789,MIXED
mixed_train_col_02,联系人李四 手机13200001111 证件440103198812123456,MIXED
mixed_train_col_02,杭州云联有限公司 经办王五 13698765432 G89012345 主体91110000MA00123456,MIXED
mixed_train_col_02,联系人孙一 手机15800001111 证件310115199101017654,MIXED
mixed_train_col_03,赵六 13800001234 E78901234,MIXED
mixed_train_col_03,客户陈七，护照号G23456789，统一码91510100MA03456789,MIXED
mixed_train_col_03,成都智汇科技有限公司 经办赵六 13698765432 G89012345 主体91110000MA00123456,MIXED
mixed_train_col_03,客户王五，护照号G56789012，统一码91440300MA02345678,MIXED
mixed_train_col_03,西安启明数据有限公司 19977778888 91650100MA04567890,MIXED
mixed_train_col_03,南京博瑞信息技术有限公司 经办郑二 15122223333 E78901234 主体91110000MA00123456,MIXED
mixed_train_col_03,深圳创新股份公司 19977778888 91910100MA07890123,MIXED
mixed_train_col_03,张三 13912345678 P34567890,MIXED
mixed_train_col_03,南京博瑞信息技术有限公司 13200001111 91310000MA01234567,MIXED
mixed_train_col_03,客户周九，护照号P67890123，统一码91910100MA07890123,MIXED
