column_id,text,label
phone_landline_img,400-100-5678,LANDLINE
phone_landline_img,unknown_1254,LANDLINE
phone_landline_img,400-830-8300,LANDLINE
phone_landline_img,N/A-1262,LANDLINE
phone_landline_img,86-755-83301199,LANDLINE
phone_landline_img,0401-1035767,LANDLINE
phone_landline_img,010-77481727,LANDLINE
phone_landline_img,800-9009999,LANDLINE
phone_landline_img,cfg_1243,LANDLINE
phone_landline_img,unknown_1251,LANDLINE
phone_landline_img,noise_LANDLINE_1263,LANDLINE
phone_landline_img,test_1245,LANDLINE
phone_landline_img,test_1253,LANDLINE
phone_landline_img,017-95095735,LANDLINE
phone_landline_img,系统导入_1257,LANDLINE
phone_landline_img,010-62503000,LANDLINE
phone_landline_img,017-44505080,LANDLINE
phone_landline_img,test_1244,LANDLINE
phone_landline_img,87795017,LANDLINE
phone_landline_img,已删除_1246,LANDLINE
phone_landline_400,400-820-8888,LANDLINE
phone_landline_400,unknown_1264,LANDLINE
phone_landline_400,400-888-9999,LANDLINE
phone_landline_400,011-32732891,LANDLINE
phone_landline_400,0329-4021241,LANDLINE
phone_landline_400,0764-3218512,LANDLINE
phone_landline_400,noise_LANDLINE_1275,LANDLINE
phone_landline_400,400-123-4567,LANDLINE
phone_landline_400,cfg_1271,LANDLINE
phone_landline_400,历史数据_1265,LANDLINE
phone_landline_400,0329-6712260,LANDLINE
phone_landline_400,0619-7916730,LANDLINE
phone_landline_400,noise_LANDLINE_1267,LANDLINE
phone_landline_400,N/A-1269,LANDLINE
phone_landline_400,unknown_1274,LANDLINE
phone_landline_400,4008001234,LANDLINE
phone_landline_400,015-72577425,LANDLINE
phone_landline_400,020-88480462,LANDLINE
phone_landline_400,param.1272.value,LANDLINE
phone_landline_400,noise_LANDLINE_1270,LANDLINE
phone_landline_800,0531-2756369,LANDLINE
phone_landline_800,0761-4889750,LANDLINE
phone_landline_800,noise_LANDLINE_1285,LANDLINE
phone_landline_800,017-99875616,LANDLINE
phone_landline_800,N/A-1287,LANDLINE
phone_landline_800,29591451,LANDLINE
phone_landline_800,0533-5276971,LANDLINE
phone_landline_800,028-12152527,LANDLINE
phone_landline_800,N/A-1280,LANDLINE
phone_landline_800,400-579-6012,LANDLINE
phone_landline_800,800-820-1234,LANDLINE
phone_landline_800,019-89676862,LANDLINE
phone_landline_800,011-93279478,LANDLINE
phone_landline_800,unknown_1282,LANDLINE
phone_landline_800,8001234567,LANDLINE
phone_landline_800,025-82104404,LANDLINE
phone_landline_800,800-810-0000,LANDLINE
phone_landline_800,020-39893558,LANDLINE
phone_landline_800,8008888999,LANDLINE
phone_landline_800,N/A-1278,LANDLINE
phone_landline_010,010-88886666,LANDLINE
phone_landline_010,51741966,LANDLINE
phone_landline_010,0314-9775171,LANDLINE
phone_landline_010,021-66578701,LANDLINE
phone_landline_010,noise_LANDLINE_1290,LANDLINE
phone_landline_010,01012345678,LANDLINE
phone_landline_010,014-87394574,LANDLINE
phone_landline_010,017-87076044,LANDLINE
phone_landline_010,N/A-1292,LANDLINE
phone_landline_010,010-87654321,LANDLINE
phone_landline_010,test_1289,LANDLINE
phone_landline_010,0352-6042278,LANDLINE
phone_landline_010,010-12345678,LANDLINE
phone_landline_010,022-67337518,LANDLINE
phone_landline_010,0473-6208211,LANDLINE
phone_landline_010,0951-6649700,LANDLINE
phone_landline_010,系统导入_1291,LANDLINE
phone_landline_010,020-43627309,LANDLINE
phone_landline_010,400-617-8303,LANDLINE
phone_landline_010,test_1288,LANDLINE
phone_landline_021,021-87654321,LANDLINE
phone_landline_021,400-917-2710,LANDLINE
phone_landline_021,0608-9839210,LANDLINE
phone_landline_021,011-28447687,LANDLINE
phone_landline_021,test_1295,LANDLINE
phone_landline_021,unknown_1293,LANDLINE
phone_landline_021,param.1298.value,LANDLINE
phone_landline_021,27021568,LANDLINE
phone_landline_021,noise_LANDLINE_1299,LANDLINE
phone_landline_021,021-55556666,LANDLINE
phone_landline_021,02112345678,LANDLINE
phone_landline_021,400-452-4299,LANDLINE
phone_landline_021,34740199,LANDLINE
phone_landline_021,017-42044196,LANDLINE
phone_landline_021,0724-6548917,LANDLINE
phone_landline_021,0838-8127471,LANDLINE
phone_landline_021,91576616_1300,LANDLINE
