column_id,text,label
phone_landline_img,400-100-5678,LANDLINE
phone_landline_img,010-62503000,LANDLINE
phone_landline_img,400-830-8300,LANDLINE
phone_landline_img,86-755-83301199,LANDLINE
phone_landline_img,800-9009999,LANDLINE
phone_landline_img,0401-1035767,LANDLINE
phone_landline_img,017-95095735,LANDLINE
phone_landline_img,010-77481727,LANDLINE
phone_landline_img,017-44505080,LANDLINE
phone_landline_img,87795017,LANDLINE
phone_landline_img,029-13300097,LANDLINE
phone_landline_img,0665-9205157,LANDLINE
phone_landline_img,0857-6931535,LANDLINE
phone_landline_img,022-63497293,LANDLINE
phone_landline_img,010-76932055,LANDLINE
phone_landline_img,400-366-6118,LANDLINE
phone_landline_img,029-16439248,LANDLINE
phone_landline_img,028-48779473,LANDLINE
phone_landline_img,0718-2256483,LANDLINE
phone_landline_img,0972-3370791,LANDLINE
phone_landline_400,400-820-8888,LANDLINE
phone_landline_400,400-888-9999,LANDLINE
phone_landline_400,400-123-4567,LANDLINE
phone_landline_400,4008001234,LANDLINE
phone_landline_400,015-72577425,LANDLINE
phone_landline_400,0764-3218512,LANDLINE
phone_landline_400,0329-6712260,LANDLINE
phone_landline_400,011-32732891,LANDLINE
phone_landline_400,0329-4021241,LANDLINE
phone_landline_400,0619-7916730,LANDLINE
phone_landline_400,020-88480462,LANDLINE
phone_landline_400,012-81189250,LANDLINE
phone_landline_400,0702-9508440,LANDLINE
phone_landline_400,400-356-4558,LANDLINE
phone_landline_400,400-784-8369,LANDLINE
phone_landline_400,44190908,LANDLINE
phone_landline_400,400-164-9720,LANDLINE
phone_landline_400,017-82624617,LANDLINE
phone_landline_400,024-65112422,LANDLINE
phone_landline_400,019-50756686,LANDLINE
phone_landline_800,800-810-0000,LANDLINE
phone_landline_800,800-820-1234,LANDLINE
phone_landline_800,8001234567,LANDLINE
phone_landline_800,8008888999,LANDLINE
phone_landline_800,017-99875616,LANDLINE
phone_landline_800,0761-4889750,LANDLINE
phone_landline_800,011-93279478,LANDLINE
phone_landline_800,29591451,LANDLINE
phone_landline_800,020-39893558,LANDLINE
phone_landline_800,400-579-6012,LANDLINE
phone_landline_800,0531-2756369,LANDLINE
phone_landline_800,0533-5276971,LANDLINE
phone_landline_800,028-12152527,LANDLINE
phone_landline_800,019-89676862,LANDLINE
phone_landline_800,025-82104404,LANDLINE
phone_landline_800,43635194,LANDLINE
phone_landline_800,400-402-7545,LANDLINE
phone_landline_800,0984-2315697,LANDLINE
phone_landline_800,015-24946716,LANDLINE
phone_landline_800,400-536-9059,LANDLINE
phone_landline_010,010-88886666,LANDLINE
phone_landline_010,010-12345678,LANDLINE
phone_landline_010,010-87654321,LANDLINE
phone_landline_010,01012345678,LANDLINE
phone_landline_010,0314-9775171,LANDLINE
phone_landline_010,51741966,LANDLINE
phone_landline_010,022-67337518,LANDLINE
phone_landline_010,400-617-8303,LANDLINE
phone_landline_010,0473-6208211,LANDLINE
phone_landline_010,021-66578701,LANDLINE
phone_landline_010,014-87394574,LANDLINE
phone_landline_010,020-43627309,LANDLINE
phone_landline_010,0352-6042278,LANDLINE
phone_landline_010,0951-6649700,LANDLINE
phone_landline_010,017-87076044,LANDLINE
phone_landline_010,0508-9841684,LANDLINE
phone_landline_010,400-303-5157,LANDLINE
phone_landline_010,022-90889429,LANDLINE
phone_landline_010,400-635-2962,LANDLINE
phone_landline_010,49909669,LANDLINE
phone_landline_021,021-12345678,LANDLINE
phone_landline_021,021-87654321,LANDLINE
phone_landline_021,021-55556666,LANDLINE
phone_landline_021,02112345678,LANDLINE
phone_landline_021,011-28447687,LANDLINE
phone_landline_021,0724-6548917,LANDLINE
phone_landline_021,34740199,LANDLINE
phone_landline_021,400-452-4299,LANDLINE
phone_landline_021,010-72585136,LANDLINE
phone_landline_021,400-917-2710,LANDLINE
phone_landline_021,0608-9839210,LANDLINE
phone_landline_021,0838-8127471,LANDLINE
phone_landline_021,27021568,LANDLINE
phone_landline_021,017-42044196,LANDLINE
phone_landline_021,46347381,LANDLINE
phone_landline_021,029-80841928,LANDLINE
phone_landline_021,018-56581929,LANDLINE
phone_landline_021,012-78176194,LANDLINE
phone_landline_021,025-85171040,LANDLINE
phone_landline_021,0621-9245217,LANDLINE
phone_landline_0755,0755-83301199,LANDLINE
phone_landline_0755,0755-12345678,LANDLINE
phone_landline_0755,755-83301199,LANDLINE
phone_landline_0755,400-825-6039,LANDLINE
phone_landline_0755,021-13172250,LANDLINE
phone_landline_0755,0625-4730809,LANDLINE
phone_landline_0755,0446-1768794,LANDLINE
phone_landline_0755,400-709-6825,LANDLINE
phone_landline_0755,400-160-1909,LANDLINE
phone_landline_0755,0748-8503404,LANDLINE
phone_landline_0755,0650-6604409,LANDLINE
phone_landline_0755,020-35516166,LANDLINE
phone_landline_0755,49122891,LANDLINE
phone_landline_0755,400-970-7287,LANDLINE
phone_landline_0755,0977-4690084,LANDLINE
phone_landline_0755,024-38048609,LANDLINE
phone_landline_0755,022-19121727,LANDLINE
phone_landline_0755,018-73318928,LANDLINE
phone_landline_0755,021-22502794,LANDLINE
phone_landline_0755,400-852-4668,LANDLINE
phone_landline_020,020-87654321,LANDLINE
phone_landline_020,020-12345678,LANDLINE
phone_landline_020,020-68617724,LANDLINE
phone_landline_020,0375-5617975,LANDLINE
phone_landline_020,0470-5436346,LANDLINE
phone_landline_020,0736-6062255,LANDLINE
phone_landline_020,0386-8442622,LANDLINE
phone_landline_020,0770-7068069,LANDLINE
phone_landline_020,0795-4405205,LANDLINE
phone_landline_020,022-19169109,LANDLINE
phone_landline_020,022-13957100,LANDLINE
phone_landline_020,018-21538938,LANDLINE
phone_landline_020,0623-1430351,LANDLINE
phone_landline_020,400-161-2006,LANDLINE
phone_landline_020,400-702-3540,LANDLINE
phone_landline_020,026-37146361,LANDLINE
phone_landline_020,76537331,LANDLINE
phone_landline_020,78157610,LANDLINE
phone_landline_020,400-556-9524,LANDLINE
phone_landline_020,027-73601487,LANDLINE
phone_landline_0571,0571-88889999,LANDLINE
phone_landline_0571,0571-12345678,LANDLINE
phone_landline_0571,0701-6511052,LANDLINE
phone_landline_0571,014-40119992,LANDLINE
phone_landline_0571,025-26295077,LANDLINE
phone_landline_0571,013-35939489,LANDLINE
phone_landline_0571,0984-1109208,LANDLINE
phone_landline_0571,400-644-3676,LANDLINE
phone_landline_0571,0674-8240054,LANDLINE
phone_landline_0571,34737153,LANDLINE
phone_landline_0571,59030884,LANDLINE
phone_landline_0571,015-70971798,LANDLINE
phone_landline_0571,018-55774890,LANDLINE
phone_landline_0571,0574-1232800,LANDLINE
phone_landline_0571,019-88402772,LANDLINE
phone_landline_0571,0832-5140645,LANDLINE
phone_landline_0571,0679-7006761,LANDLINE
phone_landline_0571,022-98141123,LANDLINE
phone_landline_0571,015-34320647,LANDLINE
phone_landline_0571,0902-5395692,LANDLINE
phone_landline_028,028-12345678,LANDLINE
phone_landline_028,028-87654321,LANDLINE
phone_landline_028,0649-5312402,LANDLINE
phone_landline_028,400-606-7516,LANDLINE
phone_landline_028,016-91917640,LANDLINE
phone_landline_028,0321-2141894,LANDLINE
phone_landline_028,78860178,LANDLINE
phone_landline_028,029-32062357,LANDLINE
phone_landline_028,400-163-5465,LANDLINE
phone_landline_028,400-623-9850,LANDLINE
phone_landline_028,014-79721662,LANDLINE
phone_landline_028,0671-9685662,LANDLINE
phone_landline_028,018-40160087,LANDLINE
phone_landline_028,028-93198217,LANDLINE
phone_landline_028,0787-5027568,LANDLINE
phone_landline_028,0628-5535163,LANDLINE
phone_landline_028,400-280-5592,LANDLINE
phone_landline_028,029-44833949,LANDLINE
phone_landline_028,400-648-1121,LANDLINE
phone_landline_028,023-79197520,LANDLINE
phone_landline_029,029-87654321,LANDLINE
