column_id,text,label
phone_landline_img,400-100-5678,LANDLINE
phone_landline_img,010-62503000,LANDLINE
phone_landline_img,400-830-8300,LANDLINE
phone_landline_img,86-755-83301199,LANDLINE
phone_landline_img,800-9009999,LANDLINE
phone_landline_img,400-100-5678,LANDLINE
phone_landline_img,010-62503000,LANDLINE
phone_landline_img,400-830-8300,LANDLINE
phone_landline_img,86-755-83301199,LANDLINE
phone_landline_img,800-9009999,LANDLINE
phone_landline_400,400-100-5678,LANDLINE
phone_landline_400,400-820-8888,LANDLINE
phone_landline_400,400-830-8300,LANDLINE
phone_landline_400,400-888-9999,LANDLINE
phone_landline_400,400-123-4567,LANDLINE
phone_landline_400,4008001234,LANDLINE
phone_landline_800,800-9009999,LANDLINE
phone_landline_800,800-810-0000,LANDLINE
phone_landline_800,800-820-1234,LANDLINE
phone_landline_800,8001234567,LANDLINE
phone_landline_800,8008888999,LANDLINE
phone_landline_010,010-62503000,LANDLINE
phone_landline_010,010-88886666,LANDLINE
phone_landline_010,010-12345678,LANDLINE
phone_landline_010,010-87654321,LANDLINE
phone_landline_010,01012345678,LANDLINE
phone_landline_021,021-12345678,LANDLINE
phone_landline_021,021-87654321,LANDLINE
phone_landline_021,021-55556666,LANDLINE
phone_landline_021,02112345678,LANDLINE
phone_landline_0755,0755-83301199,LANDLINE
phone_landline_0755,0755-12345678,LANDLINE
phone_landline_0755,86-755-83301199,LANDLINE
phone_landline_0755,755-83301199,LANDLINE
phone_landline_020,020-87654321,LANDLINE
phone_landline_020,020-12345678,LANDLINE
phone_landline_0571,0571-88889999,LANDLINE
phone_landline_0571,0571-12345678,LANDLINE
phone_landline_028,028-12345678,LANDLINE
phone_landline_028,028-87654321,LANDLINE
phone_landline_029,029-87654321,LANDLINE
phone_landline_023,023-12345678,LANDLINE
phone_landline_022,022-12345678,LANDLINE
phone_landline_024,024-12345678,LANDLINE
phone_landline_025,025-12345678,LANDLINE
phone_landline_027,027-12345678,LANDLINE
phone_landline_0311,0311-12345678,LANDLINE
phone_landline_0351,0351-12345678,LANDLINE
phone_landline_0371,0371-12345678,LANDLINE
phone_landline_0431,0431-12345678,LANDLINE
phone_landline_0451,0451-12345678,LANDLINE
phone_landline_0531,0531-12345678,LANDLINE
phone_landline_0532,0532-12345678,LANDLINE
phone_landline_0591,0591-12345678,LANDLINE
phone_landline_0592,0592-12345678,LANDLINE
phone_landline_0731,0731-12345678,LANDLINE
phone_landline_mix,400-100-5678,LANDLINE
phone_landline_mix,010-62503000,LANDLINE
phone_landline_mix,021-12345678,LANDLINE
phone_landline_mix,800-9009999,LANDLINE
phone_landline_mix,86-755-83301199,LANDLINE
phone_landline_mix,400-830-8300,LANDLINE
phone_landline_mix,020-87654321,LANDLINE
phone_landline_mix,0571-88889999,LANDLINE
phone_landline_mix,028-12345678,LANDLINE
phone_landline_mix,029-87654321,LANDLINE
phone_landline_95,95588,LANDLINE
phone_landline_95,95599,LANDLINE
phone_landline_95,95388,LANDLINE
phone_landline_95,95566,LANDLINE
phone_landline_95,95678,LANDLINE
phone_landline_96,96888,LANDLINE
phone_landline_96,96123,LANDLINE
phone_landline_12,12345,LANDLINE
phone_landline_12,12306,LANDLINE
phone_landline_12,12315,LANDLINE
phone_landline_12,12333,LANDLINE
phone_landline_12,12388,LANDLINE
phone_landline_100,10086,LANDLINE
phone_landline_100,10010,LANDLINE
phone_landline_100,10000,LANDLINE
phone_landline_local,6250-3000,LANDLINE
phone_landline_local,88886666,LANDLINE
phone_landline_local,2345-6789,LANDLINE
phone_landline_local,87654321,LANDLINE
phone_landline_local,65321234,LANDLINE
phone_landline_0531,0531-86378901,LANDLINE
phone_landline_demo,400-100-5678,LANDLINE
phone_landline_demo,021-12345678,LANDLINE
phone_landline_demo,95588,LANDLINE
phone_landline_demo,12345,LANDLINE
phone_landline_demo,6250-3000,LANDLINE
