column_id,text,label,reason
date_col_1,not_date,DATE,not_valid_date
date_col_2,粤B12345,DATE,not_valid_date
date_col_3,abcdef,DATE,not_valid_date
date_col_3,12345678,DATE,not_valid_date
date_col_4,110105199001011234,DATE,not_valid_date
date_col_4,random,DATE,not_valid_date
date_col_5,99999999,DATE,not_valid_date
date_col_5,http://test.com,DATE,not_valid_date
date_col_6,12345,DATE,not_valid_date
date_col_6,京A12345,DATE,not_valid_date
date_col_7,2023-13-01,DATE,not_valid_date
date_col_7,2023-02-30,DATE,not_valid_date
date_col_7,2023-04-31,DATE,not_valid_date
date_col_7,hello,DATE,not_valid_date
date_col_8,abc123,DATE,not_valid_date
date_col_8,600000,DATE,not_valid_date
date_col_9,192.168.1.1,DATE,not_valid_date
date_col_9,not_date,DATE,not_valid_date
date_col_10,身份证,DATE,not_valid_date
date_col_10,123,DATE,not_valid_date
